City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nantucket,41.2835,-70.0995,26.03,90,75,5.14,US,1694005009
1,adamstown,-25.066,-130.1015,19.56,63,26,5.04,PN,1694005009
2,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1694005009
3,saudarkrokur,65.7461,-19.6394,13.04,70,100,7.76,IS,1694005009
4,jolo,6.05,121.0167,26.46,78,100,1.42,PH,1694005009
5,sesheke,-17.4759,24.2968,35.54,8,0,3.08,ZM,1694005009
6,walvis bay,-22.9575,14.5053,14.49,55,10,9.42,NA,1694005009
7,puerto natales,-51.7236,-72.4875,0.33,80,11,1.16,CL,1694005009
8,nar'yan-mar,67.6713,53.087,13.68,88,100,7.49,RU,1694005009
9,port-aux-francais,-49.35,70.2167,3.26,73,80,8.61,TF,1694005010
10,lebu,-37.6167,-73.65,9.86,87,18,4.21,CL,1694005010
11,barakani,-12.1356,44.4317,25.4,73,63,1.59,KM,1694005010
12,przemkow,51.5253,15.7944,27.22,38,91,2.19,PL,1694005010
13,gebeit,21.0667,36.3167,41.99,11,5,6.82,SD,1694005010
14,thompson,55.7435,-97.8558,-0.91,100,20,0.0,CA,1694005010
15,hawaiian paradise park,19.5933,-154.9731,22.8,96,20,1.54,US,1694004861
16,maksatikha,57.797,35.8825,15.78,47,34,4.71,RU,1694005010
17,punta cana,18.5818,-68.4043,26.87,83,20,2.06,DO,1694004746
18,wailua homesteads,22.0669,-159.378,24.44,87,20,2.57,US,1694005010
19,rio verde de mato grosso,-18.9181,-54.8442,31.2,46,100,5.93,BR,1694005011
20,floro,61.5996,5.0328,20.04,63,0,2.06,NO,1694005011
21,albany,42.6001,-73.9662,24.24,83,0,0.45,US,1694004686
22,hermanus,-34.4187,19.2345,17.67,63,9,8.57,ZA,1694005011
23,anadyr,64.75,177.4833,4.28,75,0,9.83,RU,1694005011
24,ribeira grande,38.5167,-28.7,24.22,64,20,6.69,PT,1694005011
25,port mathurin,-19.6833,63.4167,22.95,71,6,6.21,MU,1694005012
26,mogok,22.9167,96.5,19.87,99,100,1.03,MM,1694005012
27,alaghsas,17.0187,8.0168,36.94,39,0,5.14,NE,1694005012
28,puerto baquerizo moreno,-0.9,-89.6,22.61,76,78,5.34,EC,1694005012
29,papatowai,-46.5619,169.4708,9.3,81,0,2.5,NZ,1694005012
30,iskateley,67.6803,53.1512,13.64,88,100,7.44,RU,1694005012
31,qaqortoq,60.7167,-46.0333,6.32,85,100,0.58,GL,1694005012
32,callao,-12.0667,-77.15,19.29,88,100,3.09,PE,1694005012
33,port elizabeth,-33.918,25.5701,20.05,48,0,11.32,ZA,1694005012
34,longgang,37.6508,120.3286,23.13,75,0,2.52,CN,1694005012
35,dogondoutchi,13.6393,4.0287,35.02,39,0,2.71,NE,1694005013
36,edinburgh of the seven seas,-37.0676,-12.3116,14.81,83,100,18.47,SH,1694005013
37,hasaki,35.7333,140.8333,25.17,87,100,2.68,JP,1694005013
38,khandyga,62.6667,135.6,8.25,84,99,2.31,RU,1694005013
39,auki,-8.7676,160.7034,25.49,90,28,2.16,SB,1694005013
40,roma,43.2128,-75.4557,25.48,93,2,0.59,US,1694004867
41,port lincoln,-34.7333,135.8667,14.31,89,100,5.73,AU,1694005013
42,badger,64.8,-147.5333,8.95,93,100,2.06,US,1694005013
43,isla mujeres,21.2311,-86.731,28.62,79,6,2.78,MX,1694005013
44,chibougamau,49.9168,-74.3659,19.79,88,0,2.57,CA,1694005014
45,grytviken,-54.2811,-36.5092,-6.04,70,19,3.54,GS,1694005014
46,eyl,7.9803,49.8164,30.44,58,93,12.14,SO,1694005014
47,qiryat shemona,33.2073,35.5721,36.5,23,0,5.68,IL,1694005014
48,luderitz,-26.6481,15.1594,19.75,42,45,9.79,NA,1694005014
49,nouadhibou,20.931,-17.0347,31.99,43,0,1.54,MR,1694005014
50,pennagaram,12.1333,77.9,25.69,76,100,1.54,IN,1694005014
51,bilibino,68.0546,166.4372,-2.68,84,7,0.96,RU,1694005014
52,margaret river,-33.95,115.0667,8.89,67,0,3.53,AU,1694005014
53,atafu village,-8.5421,-172.5159,28.1,79,100,6.4,TK,1694005015
54,ilulissat,69.2167,-51.1,1.27,99,100,2.75,GL,1694005015
55,shemgang,27.2169,90.6579,17.66,97,26,1.23,BT,1694005015
56,houma,29.5958,-90.7195,26.0,87,0,0.89,US,1694005015
